source,source_id,school_name,normalised_school_name,school_code,suburb,country,state,postcode,type,sector,latitude,longitude,is_sehs,selectivity_type,entry_year_levels,test_provider,test_name,offers_medicine,offers_dentistry
ACARA,41871,Brisbania Public School,Brisbania Public School,,Saratoga,Australia,NSW,2251,Primary,Public,-33.4788,151.357,FALSE,,,,,FALSE,FALSE
ACARA,47122,Broadbeach State School,Broadbeach State School,,Broadbeach,Australia,QLD,4218,Primary,Public,-28.0356,153.435,FALSE,,,,,FALSE,FALSE
ACARA,44208,Broadford Primary School,Broadford Primary School,,Broadford,Australia,VIC,3658,Primary,Public,-37.2026,145.046,FALSE,,,,,FALSE,FALSE
ACARA,45363,Broadford Secondary College,Broadford Secondary College,,Broadford,Australia,VIC,3658,Secondary,Public,-37.2044,145.04,FALSE,,,,,FALSE,FALSE
ACARA,44883,Broadmeadows Primary School,Broadmeadows Primary School,,Broadmeadows,Australia,VIC,3047,Primary,Public,-37.6804,144.929,FALSE,,,,,FALSE,FALSE
ACARA,50681,Broadmeadows Special Developmental School,Broadmeadows Special Developmental School,,Broadmeadows,Australia,VIC,3047,Special,Public,-37.6816,144.914,FALSE,,,,,FALSE,FALSE
ACARA,45123,Broadmeadows Special Developmental School-Sorrento Street Campus,Broadmeadows Special Developmental School-Sorrento Street Campus,,Broadmeadows,Australia,VIC,3047,Special,Public,-37.6795,144.912,FALSE,,,,,FALSE,FALSE
ACARA,45016,Broadmeadows Valley Primary School,Broadmeadows Valley Primary School,,Broadmeadows,Australia,VIC,3047,Primary,Public,-37.6811,144.913,FALSE,,,,,FALSE,FALSE
ACARA,42160,Broadwater Public School,Broadwater Public School,,Broadwater,Australia,NSW,2472,Primary,Public,-29.0028,153.437,FALSE,,,,,FALSE,FALSE
ACARA,47012,Broadwater State School,Broadwater State School,,Broadwater,Australia,QLD,4380,Primary,Public,-28.6555,151.879,FALSE,,,,,FALSE,FALSE
ACARA,42552,Brocklesby Public School,Brocklesby Public School,,Brocklesby,Australia,NSW,2642,Primary,Public,-35.8239,146.678,FALSE,,,,,FALSE,FALSE
ACARA,41535,Broderick Gillawarna School,Broderick Gillawarna School,,Revesby,Australia,NSW,2212,Special,Public,-33.9425,151.016,FALSE,,,,,FALSE,FALSE
ACARA,41870,Broke Public School,Broke Public School,,Broke,Australia,NSW,2330,Primary,Public,-32.745,151.104,FALSE,,,,,FALSE,FALSE
ACARA,44154,Broken Creek Primary School,Broken Creek Primary School,,Broken Creek,Australia,VIC,3673,Primary,Public,-36.4233,145.889,FALSE,,,,,FALSE,FALSE
ACARA,43098,Broken Hill High School,Broken Hill High School,,Broken Hill,Australia,NSW,2880,Secondary,Public,-31.9601,141.457,FALSE,,,,,FALSE,FALSE
ACARA,42951,Broken Hill North Public School,Broken Hill North Public School,,Broken Hill,Australia,NSW,2880,Primary,Public,-31.9439,141.472,FALSE,,,,,FALSE,FALSE
ACARA,42950,Broken Hill Public School,Broken Hill Public School,,Broken Hill,Australia,NSW,2880,Primary,Public,-31.9565,141.457,FALSE,,,,,FALSE,FALSE
ACARA,49385,Brompton Primary School,Brompton Primary School,,Renown Park,Australia,SA,5008,Primary,Public,-34.894,138.581,FALSE,,,,,FALSE,FALSE
ACARA,41000,Bronte Public School,Bronte Public School,,Bronte,Australia,NSW,2024,Primary,Public,-33.9006,151.262,FALSE,,,,,FALSE,FALSE
ACARA,42063,Brooke Avenue Public School,Brooke Avenue Public School,,Killarney Vale,Australia,NSW,2261,Primary,Public,-33.3761,151.466,FALSE,,,,,FALSE,FALSE
ACARA,46403,Brookfield State School,Brookfield State School,,Brookfield,Australia,QLD,4069,Primary,Public,-27.4951,152.914,FALSE,,,,,FALSE,FALSE
ACARA,49217,Brooklyn Park Primary School,Brooklyn Park Primary School,,Brooklyn Park,Australia,SA,5032,Primary,Public,-34.9302,138.535,FALSE,,,,,FALSE,FALSE
ACARA,41201,Brooklyn Public School,Brooklyn Public School,,Brooklyn,Australia,NSW,2083,Primary,Public,-33.5484,151.215,FALSE,,,,,FALSE,FALSE
ACARA,48614,Brookman Primary School,Brookman Primary School,,Langford,Australia,WA,6147,Primary,Public,-32.0367,115.939,FALSE,,,,,FALSE,FALSE
ACARA,40045,Brooks High School,Brooks High School,,Rocherlea,Australia,TAS,7248,Secondary,Public,-41.3781,147.121,FALSE,,,,,FALSE,FALSE
ACARA,45248,Brookside P-9 College,Brookside P-9 College,,Caroline Springs,Australia,VIC,3023,Combined,Public,-37.7463,144.737,FALSE,,,,,FALSE,FALSE
ACARA,46626,Brookstead State School,Brookstead State School,,Brookstead,Australia,QLD,4364,Primary,Public,-27.7576,151.451,FALSE,,,,,FALSE,FALSE
